mous caltime
uid___A001_X1465_X10e2 53.54722222222222
uid___A001_X1465_X11cc 18.63222222222222
uid___A001_X1465_X12e 16.880277777777778
uid___A001_X1465_X1345 13.01361111111111
uid___A001_X1465_X13f 5.130833333333333
uid___A001_X1465_X153 24.77583333333333
uid___A001_X1465_X15aa 1.7269444444444446
uid___A001_X1465_X166 9.085
uid___A001_X1465_X16ac 31.16111111111111
uid___A001_X1465_X16bc 22.92666666666667
uid___A001_X1465_X16d8 17.46944444444444
uid___A001_X1465_X16dc 5.7427777777777775
uid___A001_X1465_X188d 30.39527777777778
uid___A001_X1465_X18f7 38.348333333333336
uid___A001_X1465_X18ff 3.6725
uid___A001_X1465_X1a00 9.11361111111111
uid___A001_X1465_X1a04 9.586111111111112
uid___A001_X1465_X1a0c 9.321111111111112
uid___A001_X1465_X1bc 147.93055555555554
uid___A001_X1465_X1c30 12.228055555555555
uid___A001_X1465_X1ce 14.932222222222222
uid___A001_X1465_X1cf7 3.406111111111111
uid___A001_X1465_X1cfa 2.5241666666666664
uid___A001_X1465_X1d12 2.2352777777777777
uid___A001_X1465_X1d2e 2.4944444444444445
uid___A001_X1465_X1d3a 2.0672222222222225
uid___A001_X1465_X1d3e 2.136388888888889
uid___A001_X1465_X1d67 7.77
uid___A001_X1465_X1d6f 6.664444444444444
uid___A001_X1465_X1d73 17.024444444444445
uid___A001_X1465_X1d7b 13.662777777777778
uid___A001_X1465_X1d83 3.8722222222222222
uid___A001_X1465_X1d87 17.228888888888886
uid___A001_X1465_X1d8b 4.507777777777778
uid___A001_X1465_X1d8f 3.1555555555555554
uid___A001_X1465_X1d97 5.760833333333333
uid___A001_X1465_X1d9b 3.8561111111111113
uid___A001_X1465_X1d9f 4.777777777777778
uid___A001_X1465_X1da3 19.38861111111111
uid___A001_X1465_X1da7 3.669722222222222
uid___A001_X1465_X1dab 6.419722222222222
uid___A001_X1465_X1daf 3.3408333333333333
uid___A001_X1465_X1db7 3.8830555555555555
uid___A001_X1465_X1dbf 8.401666666666667
uid___A001_X1465_X1dc3 7.794444444444444
uid___A001_X1465_X1dcb 6.756944444444445
uid___A001_X1465_X1e7a 3.3783333333333334
uid___A001_X1465_X1ec7 2.2752777777777777
uid___A001_X1465_X1ed3 2.7525
uid___A001_X1465_X1edb 2.0569444444444445
uid___A001_X1465_X1ee7 2.4472222222222224
uid___A001_X1465_X1eef 2.7330555555555556
uid___A001_X1465_X1ef3 2.413611111111111
uid___A001_X1465_X1ef7 2.211388888888889
uid___A001_X1465_X1efb 1.8030555555555556
uid___A001_X1465_X1eff 1.963611111111111
uid___A001_X1465_X1f03 2.0719444444444446
uid___A001_X1465_X1f07 1.9811111111111113
uid___A001_X1465_X1f12 10.485833333333332
uid___A001_X1465_X1fb3 5.303333333333333
uid___A001_X1465_X1ff9 11.2925
uid___A001_X1465_X2001 10.909166666666668
uid___A001_X1465_X2011 9.320833333333333
uid___A001_X1465_X20a9 5.181388888888889
uid___A001_X1465_X20ad 4.366111111111111
uid___A001_X1465_X219a 13.7575
uid___A001_X1465_X2384 27.4075
uid___A001_X1465_X2398 6.095833333333333
uid___A001_X1465_X24 41.41694444444444
uid___A001_X1465_X240f 25.81833333333333
